id,latitude,longitude,brightness,frp,confidence,acquisition_time,source,true_class_demo_only
TG-1110,22.35389,69.82749,321.1,47.6,90.6,2026-09-03T19:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1096,9.96737,76.27838,347.3,92.1,72.5,2026-08-26T07:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1045,9.98359,76.29492,332.2,295.1,85.9,2026-08-27T06:09:00Z,VIIRS,Industrial Fire
TG-1004,17.68172,83.21084,378.3,637.4,83.7,2026-08-21T23:29:00Z,MODIS,Industrial Fire
TG-1015,24.09141,82.64408,373.7,212.5,92.5,2026-08-22T02:46:00Z,VIIRS,Industrial Fire
TG-1099,9.96666,76.28047,341.9,95.1,86.7,2026-08-26T14:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1083,24.1951,82.67794,315.8,132.7,91.6,2026-08-20T10:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1005,23.67933,86.12882,407.0,587.2,83.7,2026-08-27T09:05:00Z,MODIS,Industrial Fire
TG-1057,20.82785,85.11216,347.9,189.6,78.5,2026-08-21T00:15:00Z,VIIRS,Industrial Fire
TG-1134,19.06358,82.33178,318.1,37.2,54.8,2026-08-20T06:00:00Z,MODIS,Natural / Forest Fire
TG-1070,20.84137,85.09963,353.4,98.9,91.8,2026-08-24T20:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1027,22.36401,82.74465,388.1,394.9,96.4,2026-09-01T04:42:00Z,VIIRS,Industrial Fire
TG-1094,9.96613,76.2809,333.5,156.3,78.5,2026-08-21T02:00:00Z,MODIS,Gas Flare / Persistent Thermal Source
TG-1001,22.34946,69.82298,410.3,220.9,84.7,2026-08-23T21:47:00Z,VIIRS,Industrial Fire
TG-1142,15.21939,74.1133,335.5,52.0,52.6,2026-08-29T08:00:00Z,MODIS,Natural / Forest Fire
TG-1023,20.81644,86.92816,364.1,643.1,81.1,2026-09-01T01:10:00Z,MODIS,Industrial Fire
TG-1071,20.83834,85.09895,322.6,143.4,72.9,2026-08-25T01:00:00Z,VIIRS,Gas Flare / Persistent Thermal Source
TG-1151,30.68626,76.72452,329.7,51.4,75.9,2026-08-31T09:00:00Z,VIIRS,Agricultural Fire
TG-1136,19.12499,82.25802,355.3,105.5,70.2,2026-08-20T14:00:00Z,MODIS,Natural / Forest Fire
TG-1118,30.08516,78.24953,321.5,97.8,70.6,2026-08-24T00:00:00Z,VIIRS,Natural / Forest Fire
